Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,146.050003,148.029999,145.770004,146.779999,136.195755,3603500
2015-09-04,144.570007,145.399994,143.320007,143.699997,133.337875,4201100
2015-09-08,145.860001,147.339996,145.660004,147.229996,136.613327,3933300
2015-09-09,148.740005,149.039993,144.850006,145.050003,134.590546,3380000
2015-09-10,145.850006,147.160004,144.509995,146.199997,135.657578,3461700
2015-09-11,145.910004,147.500000,145.669998,147.369995,136.743240,3115100
2015-09-14,147.369995,147.369995,145.410004,145.649994,135.147232,3226700
2015-09-15,146.600006,147.929993,145.759995,147.529999,136.891693,2709500
2015-09-16,147.839996,148.889999,147.539993,148.410004,137.708237,2799200
2015-09-17,148.100006,149.679993,147.300003,148.139999,137.457748,4003000
2015-09-18,146.050003,146.389999,143.979996,144.509995,134.089447,7776500
2015-09-21,145.389999,146.979996,144.919998,146.479996,135.917389,3825000
2015-09-22,144.619995,145.059998,143.770004,144.429993,134.015228,3564100
2015-09-23,144.210007,144.570007,142.750000,143.660004,133.300781,2674200
2015-09-24,142.600006,145.070007,141.949997,144.410004,133.996674,3280300
2015-09-25,145.550003,146.270004,144.529999,145.419998,134.933823,3474400
2015-09-28,144.419998,145.380005,142.470001,142.520004,132.242935,4317300
2015-09-29,141.990005,142.660004,141.149994,142.470001,132.196579,4763500
2015-09-30,143.690002,145.710007,143.660004,144.970001,134.516296,3923900
2015-10-01,145.309998,145.669998,141.589996,143.589996,133.235809,3880900
2015-10-02,141.050003,144.589996,140.559998,144.580002,134.154434,3054400
2015-10-05,145.820007,149.889999,145.820007,149.039993,138.292801,5131800
2015-10-06,149.059998,150.149994,148.490005,148.779999,138.051529,3018100
2015-10-07,150.039993,150.729996,148.860001,150.089996,139.267090,2980800
2015-10-08,149.690002,153.020004,149.289993,152.279999,141.299179,4794400
2015-10-09,152.460007,153.149994,151.270004,152.389999,141.401230,3531100
2015-10-12,152.399994,152.580002,150.850006,151.139999,140.241379,3227600
2015-10-13,150.779999,150.779999,149.179993,149.619995,138.830978,3915700
2015-10-14,149.600006,150.649994,149.020004,150.009995,139.192856,3353000
2015-10-15,150.910004,151.240005,148.580002,150.089996,139.267090,3476200
2015-10-16,150.449997,151.199997,149.259995,150.389999,139.545441,3483700
2015-10-19,149.850006,149.970001,148.380005,149.220001,138.459824,7954700
2015-10-20,142.490005,142.880005,140.270004,140.639999,130.498520,15928800
2015-10-21,140.250000,142.660004,139.300003,140.919998,130.758331,6990600
2015-10-22,141.740005,145.070007,141.619995,144.089996,133.699753,5583200
2015-10-23,144.610001,145.490005,143.699997,144.679993,134.247223,5370400
2015-10-26,144.750000,145.000000,143.210007,143.660004,133.300781,3489400
2015-10-27,143.509995,143.830002,137.330002,137.860001,127.918983,15008500
2015-10-28,137.919998,141.229996,137.500000,140.830002,130.674820,8511400
2015-10-29,140.360001,140.820007,139.020004,140.550003,130.415009,3702500
2015-10-30,140.440002,141.330002,139.899994,140.080002,129.978912,3984000
2015-11-02,140.500000,140.520004,139.570007,140.369995,130.247986,3822200
2015-11-03,140.020004,142.800003,139.899994,141.880005,131.649124,4349400
2015-11-04,142.550003,142.649994,141.300003,141.630005,131.417130,3507600
2015-11-05,141.610001,142.380005,139.630005,139.889999,129.802612,5096900
2015-11-06,138.600006,139.550003,137.869995,138.250000,129.484161,4744900
2015-11-09,137.919998,138.080002,134.880005,135.309998,126.730568,8075600
2015-11-10,135.360001,135.740005,134.119995,135.470001,126.880440,4520800
2015-11-11,136.089996,136.199997,134.500000,135.020004,126.458969,3164800
2015-11-12,134.699997,134.699997,133.009995,133.039993,124.604492,4701400
2015-11-13,132.949997,133.000000,131.649994,131.750000,123.396309,4613800
2015-11-16,131.789993,134.089996,131.789993,133.710007,125.232033,4190800
2015-11-17,134.220001,134.820007,133.309998,133.820007,125.335052,2815100
2015-11-18,134.789993,135.910004,134.259995,135.820007,127.208244,4149200
2015-11-19,136.210007,137.740005,136.009995,136.740005,128.069901,4753600
2015-11-20,137.369995,138.919998,137.250000,138.500000,129.718307,5176400
2015-11-23,138.529999,138.869995,137.119995,138.460007,129.680847,5137900
2015-11-24,137.649994,139.339996,137.309998,138.600006,129.811981,3407700
2015-11-25,138.369995,138.429993,137.380005,138.000000,129.250031,3238200
2015-11-27,138.000000,138.809998,137.210007,138.460007,129.680847,1415800
2015-11-30,138.610001,139.899994,138.520004,139.419998,130.579987,4545600
2015-12-01,139.580002,141.399994,139.580002,141.279999,132.322052,4195100
2015-12-02,140.929993,141.210007,139.500000,139.699997,130.842224,3725400
2015-12-03,140.100006,140.729996,138.190002,138.919998,130.111679,5909600
2015-12-04,138.089996,141.020004,137.990005,140.429993,131.525940,4571600
2015-12-07,140.160004,140.410004,138.809998,139.550003,130.701721,3279400
2015-12-08,138.279999,139.059998,137.529999,138.050003,129.296829,3905200
2015-12-09,137.380005,139.839996,136.229996,136.610001,127.948158,4615000
2015-12-10,137.029999,137.850006,135.720001,136.779999,128.107361,4754800
2015-12-11,135.229996,135.440002,133.910004,134.570007,126.037491,5333800
2015-12-14,135.309998,136.139999,134.020004,135.929993,127.311256,5103800
2015-12-15,137.399994,138.970001,137.279999,137.789993,129.053345,4238500
2015-12-16,139.119995,139.649994,137.789993,139.289993,130.458221,4345500
2015-12-17,139.350006,139.500000,136.309998,136.750000,128.079269,4089500
2015-12-18,136.410004,136.960007,134.270004,134.899994,126.346573,10026100
2015-12-21,135.830002,135.830002,134.020004,135.500000,126.908539,5617500
2015-12-22,135.880005,138.190002,135.649994,137.929993,129.184464,4081000
2015-12-23,138.300003,139.309998,138.110001,138.539993,129.755783,5164900
2015-12-24,138.429993,138.880005,138.110001,138.250000,129.484161,1495200
2015-12-28,137.740005,138.039993,136.539993,137.610001,128.884750,3106900
2015-12-29,138.250000,140.059998,138.199997,139.779999,130.917160,3943700
2015-12-30,139.580002,140.440002,139.220001,139.339996,130.505066,2989400
2015-12-31,139.070007,139.100006,137.570007,137.619995,128.894089,3462100
2016-01-04,135.600006,135.970001,134.240005,135.949997,127.330009,5229400
2016-01-05,136.759995,136.889999,134.850006,135.850006,127.236343,3924800
2016-01-06,134.380005,135.580002,133.619995,135.169998,126.599449,4310900
2016-01-07,133.699997,135.020004,132.429993,132.860001,124.435936,7025800
2016-01-08,133.179993,133.820007,131.320007,131.630005,123.283920,4762700
2016-01-11,131.809998,133.820007,131.759995,133.229996,124.782440,4967000
2016-01-12,133.649994,133.779999,131.130005,132.899994,124.473381,5078700
2016-01-13,133.500000,134.279999,131.100006,131.169998,122.853073,4700100
2016-01-14,131.929993,133.789993,131.220001,132.910004,124.482773,5709600
2016-01-15,130.009995,130.880005,128.869995,130.029999,121.785355,9008500
2016-01-19,130.110001,132.100006,128.059998,128.110001,119.987099,9979600
2016-01-20,118.459999,123.989998,118.000000,121.860001,114.133385,16157800
2016-01-21,121.300003,125.099998,120.580002,122.910004,115.116821,8851600
2016-01-22,124.669998,124.739998,121.769997,122.500000,114.732803,9238400
2016-01-25,122.099998,124.230003,121.639999,122.080002,114.339447,5446000
2016-01-26,122.250000,123.610001,122.239998,122.589996,114.817101,4613700
2016-01-27,122.730003,123.370003,120.650002,120.959999,113.290436,5026400
2016-01-28,121.260002,122.830002,121.010002,122.220001,114.470558,3942500
2016-01-29,123.279999,124.790001,122.959999,124.790001,116.877609,8248100
2016-02-01,124.400002,125.290001,123.709999,124.830002,116.915077,3574900
2016-02-02,123.669998,124.139999,122.639999,122.940002,115.144913,3287300
2016-02-03,123.989998,125.449997,122.290001,124.720001,116.812042,6223500
2016-02-04,125.080002,128.500000,125.000000,127.650002,119.556267,5195800
2016-02-05,127.220001,128.639999,125.849998,128.570007,120.417961,7177700
2016-02-08,126.000000,127.510002,124.129997,126.980003,120.143555,7364000
2016-02-09,126.120003,126.930000,123.769997,124.070000,117.390221,5922600
2016-02-10,125.000000,125.290001,119.839996,120.190002,113.719124,6469100
2016-02-11,118.779999,119.660004,116.900002,117.849998,111.505096,7307600
2016-02-12,119.260002,121.050003,118.349998,121.040001,114.523361,4936500
2016-02-16,121.830002,123.089996,121.339996,122.739998,116.131813,4061400
2016-02-17,123.709999,126.570000,123.250000,126.099998,119.310921,4821000
2016-02-18,130.000000,134.000000,129.750000,132.449997,125.319031,9951600
2016-02-19,132.360001,133.649994,130.839996,133.080002,125.915138,5125300
2016-02-22,133.080002,134.309998,132.410004,133.770004,126.567993,4457400
2016-02-23,133.139999,133.410004,132.009995,132.399994,125.271721,3439700
2016-02-24,131.550003,133.490005,129.679993,132.800003,125.650223,4122600
2016-02-25,133.289993,134.509995,130.880005,134.500000,127.258675,4353600
2016-02-26,134.509995,134.919998,131.949997,132.029999,124.921661,4386200
2016-02-29,132.000000,133.360001,130.899994,131.029999,123.975479,4428000
2016-03-01,132.240005,134.639999,132.029999,134.369995,127.135666,3788500
2016-03-02,133.699997,137.440002,133.220001,136.300003,128.961761,5217200
2016-03-03,137.220001,137.960007,136.070007,137.800003,130.381027,5141200
2016-03-04,137.539993,139.419998,137.020004,137.800003,130.381027,3968400
